source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	Cluster	-log10(p_value)
GO:MF	GO:0016811	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	0.0027782265044593675	True	"""Catalysis of the hydrolysis of any non-peptide carbon-nitrogen bond in a linear amide."" [EC:3.5.1.-]"	54	1846	13	22878	0.007042253521126761	0.24074074074074073	query_1	['GO:0016810']	16hr_60S_down	2.556232349805473
GO:MF	GO:0008143	poly(A) binding	0.0027782265044593675	True	"""Binding to a sequence of adenylyl residues in an RNA molecule, such as the poly(A) tail, a sequence of adenylyl residues at the 3' end of eukaryotic mRNA."" [GOC:jl]"	13	1846	6	22878	0.0032502708559046588	0.46153846153846156	query_1	['GO:0070717']	16hr_60S_down	2.556232349805473
GO:MF	GO:0016879	ligase activity, forming carbon-nitrogen bonds	0.0027782265044593675	True	"""Catalysis of the joining of two molecules, or two groups within a single molecule, via a carbon-nitrogen bond, with the concomitant hydrolysis of the diphosphate bond in ATP or a similar triphosphate."" [EC:6.3.-.-]"	61	1846	14	22878	0.007583965330444204	0.22950819672131148	query_1	['GO:0016874']	16hr_60S_down	2.556232349805473
GO:MF	GO:0046527	glucosyltransferase activity	0.0028652683107570085	True	"""Catalysis of the transfer of a glucosyl group to an acceptor molecule, typically another carbohydrate or a lipid."" [ISBN:0198506732]"	190	1846	30	22878	0.016251354279523293	0.15789473684210525	query_1	['GO:0016758']	16hr_60S_down	2.542834703391129
GO:MF	GO:0043130	ubiquitin binding	0.0028707396523753237	True	"""Binding to ubiquitin, a protein that when covalently bound to other cellular proteins marks them for proteolytic degradation."" [GOC:ecd]"	41	1846	11	22878	0.005958829902491874	0.2682926829268293	query_1	['GO:0032182']	16hr_60S_down	2.5420061919213524
GO:MF	GO:0016405	CoA-ligase activity	0.0029875497555965774	True	"""Catalysis of the reaction: substrate + ATP + CoASH = AMP + diphosphate + substrate-CoA."" [GOC:ai]"	29	1846	9	22878	0.004875406283856988	0.3103448275862069	query_1	['GO:0016877']	16hr_60S_down	2.5246848531061996
GO:MF	GO:0016863	intramolecular oxidoreductase activity, transposing C=C bonds	0.0029875497555965774	True	"""Catalysis of an oxidation-reduction (redox) reaction in which the hydrogen donor and acceptor are the same molecule, one or more carbon-carbon double bonds in the molecule are rearranged, and no oxidized product appears."" [EC:5.3.3.-, GOC:mah]"	9	1846	5	22878	0.0027085590465872156	0.5555555555555556	query_1	['GO:0016860']	16hr_60S_down	2.5246848531061996
GO:MF	GO:0030060	L-malate dehydrogenase (NAD+) activity	0.0029875497555965774	True	"""Catalysis of the reaction: (S)-malate + NAD+ = oxaloacetate + NADH + H+."" [RHEA:21432]"	9	1846	5	22878	0.0027085590465872156	0.5555555555555556	query_1	['GO:0016615', 'GO:0016616']	16hr_60S_down	2.5246848531061996
GO:MF	GO:0004602	glutathione peroxidase activity	0.0029875497555965774	True	"""Catalysis of the reaction: 2 glutathione + hydrogen peroxide = oxidized glutathione + 2 H2O."" [EC:1.11.1.9, PMID:36771108]"	9	1846	5	22878	0.0027085590465872156	0.5555555555555556	query_1	['GO:0004601']	16hr_60S_down	2.5246848531061996
GO:MF	GO:0043022	ribosome binding	0.0029875497555965774	True	"""Binding to a ribosome."" [GOC:go_curators]"	29	1846	9	22878	0.004875406283856988	0.3103448275862069	query_1	['GO:0043021']	16hr_60S_down	2.5246848531061996
GO:MF	GO:0019202	amino acid kinase activity	0.0029875497555965774	True	"""Catalysis of the transfer of a phosphate group, usually from ATP, to an amino acid substrate."" [GOC:jl]"	9	1846	5	22878	0.0027085590465872156	0.5555555555555556	query_1	['GO:0016301']	16hr_60S_down	2.5246848531061996
GO:MF	GO:0090599	alpha-glucosidase activity	0.0029875497555965774	True	"""Catalysis of the hydrolysis of terminal, non-reducing alpha-linked alpha-D-glucose residue with release of alpha-D-glucose."" [GOC:tb]"	9	1846	5	22878	0.0027085590465872156	0.5555555555555556	query_1	['GO:0015926']	16hr_60S_down	2.5246848531061996
GO:MF	GO:0016833	oxo-acid-lyase activity	0.004230125283245234	True	"""Catalysis of the cleavage of a C-C bond by other means than by hydrolysis or oxidation, of a 3-hydroxy acid."" [EC:4.1.3.-, GOC:jl]"	14	1846	6	22878	0.0032502708559046588	0.42857142857142855	query_1	['GO:0016830']	16hr_60S_down	2.3736467699733392
GO:MF	GO:0070717	poly-purine tract binding	0.004230125283245234	True	"""Binding to a stretch of purines (adenine or guanine) in an RNA molecule."" [GOC:mah]"	14	1846	6	22878	0.0032502708559046588	0.42857142857142855	query_1	['GO:0003727']	16hr_60S_down	2.3736467699733392
GO:MF	GO:0008469	histone arginine N-methyltransferase activity	0.0044168984303749135	True	"""Catalysis of the reaction: S-adenosyl-L-methionine + (histone)-arginine = S-adenosyl-L-homocysteine + (histone)-N-methyl-arginine."" [PMID:8002954]"	3	1846	3	22878	0.0016251354279523294	1.0	query_1	['GO:0016274', 'GO:0042054']	16hr_60S_down	2.3548825875278627
GO:MF	GO:0080109	indole-3-acetonitrile nitrile hydratase activity	0.0044168984303749135	True	"""Catalysis of the reaction: indole-3-acetonitrile + H2O = indole-3-acetamide."" [MetaCyc:RXN-7567, PMID:11607511, PMID:12430025]"	3	1846	3	22878	0.0016251354279523294	1.0	query_1	['GO:0018822']	16hr_60S_down	2.3548825875278627
GO:MF	GO:0035241	protein-arginine omega-N monomethyltransferase activity	0.0044168984303749135	True	"""Catalysis of the addition of a methyl group to either of the unmethylated terminal nitrogen atoms (also called omega nitrogen) in peptidyl-arginine to form an omega-N-G-monomethylated arginine residue. The reaction is S-adenosyl-L-methionine + [protein]-L-arginine = S-adenosyl-L-homocysteine + [protein]-Nomega-methyl-L-arginine."" [EC:2.1.1.321, PMID:14705965, RESID:AA0069]"	3	1846	3	22878	0.0016251354279523294	1.0	query_1	['GO:0016274']	16hr_60S_down	2.3548825875278627
GO:MF	GO:0004618	phosphoglycerate kinase activity	0.0044168984303749135	True	"""Catalysis of the reaction: 3-phospho-D-glycerate + ATP = 3-phospho-D-glyceroyl phosphate + ADP + H+."" [EC:2.7.2.3, RHEA:14801]"	3	1846	3	22878	0.0016251354279523294	1.0	query_1	['GO:0016301', 'GO:0016774']	16hr_60S_down	2.3548825875278627
GO:MF	GO:0050017	L-3-cyanoalanine synthase activity	0.0044168984303749135	True	"""Catalysis of the reaction: L-cysteine + HCN = sulfide + L-3-cyanoalanine."" [EC:4.4.1.9, MetaCyc:L-3-CYANOALANINE-SYNTHASE-RXN]"	3	1846	3	22878	0.0016251354279523294	1.0	query_1	['GO:0016846']	16hr_60S_down	2.3548825875278627
GO:MF	GO:0097718	disordered domain specific binding	0.0044168984303749135	True	"""Binding to a disordered domain of a protein."" [GOC:gg, PMID:11746698]"	3	1846	3	22878	0.0016251354279523294	1.0	query_1	['GO:0019904']	16hr_60S_down	2.3548825875278627
GO:MF	GO:0019205	nucleobase-containing compound kinase activity	0.0044168984303749135	True	"""Catalysis of the transfer of a phosphate group, usually from ATP or GTP, to a nucleobase, nucleoside, nucleotide or polynucleotide substrate."" [GOC:jl]"	37	1846	10	22878	0.005417118093174431	0.2702702702702703	query_1	['GO:0016301']	16hr_60S_down	2.3548825875278627
GO:MF	GO:0003849	3-deoxy-7-phosphoheptulonate synthase activity	0.0044168984303749135	True	"""Catalysis of the reaction: D-erythrose 4-phosphate + H2O + phosphoenolpyruvate = 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate + phosphate."" [EC:2.5.1.54, RHEA:14717]"	3	1846	3	22878	0.0016251354279523294	1.0	query_1	['GO:0016765']	16hr_60S_down	2.3548825875278627
GO:MF	GO:0052592	oxidoreductase activity, acting on CH or CH2 groups, with an iron-sulfur protein as acceptor	0.0044168984303749135	True	"""Catalysis of an oxidation-reduction (redox) reaction in which a CH2 group acts as a hydrogen or electron donor and reduces an iron-sulfur protein."" [GOC:ai]"	3	1846	3	22878	0.0016251354279523294	1.0	query_1	['GO:0016725']	16hr_60S_down	2.3548825875278627
GO:MF	GO:0015930	glutamate synthase activity	0.0044168984303749135	True	"""Catalysis of the formation of L-glutamine and 2-oxoglutarate from L-glutamate, using NADH, NADPH or ferredoxin as hydrogen acceptors."" [GOC:curators]"	3	1846	3	22878	0.0016251354279523294	1.0	query_1	['GO:0016638']	16hr_60S_down	2.3548825875278627
GO:MF	GO:0003994	aconitate hydratase activity	0.0044168984303749135	True	"""Catalysis of the reaction: citrate = isocitrate. The reaction occurs in two steps: (1) citrate = cis-aconitate + H2O, (2) cis-aconitate + H2O = isocitrate. This reaction is the interconversion of citrate and isocitrate via the labile, enzyme-bound intermediate cis-aconitate. Water is removed from one part of the citrate molecule and added back to a different atom to form isocitrate."" [EC:4.2.1.3, GOC:pde, GOC:vw]"	3	1846	3	22878	0.0016251354279523294	1.0	query_1	['GO:0016836']	16hr_60S_down	2.3548825875278627
GO:MF	GO:0003984	acetolactate synthase activity	0.0044168984303749135	True	"""Catalysis of the reaction: H+ + 2 pyruvate = (2S)-2-acetolactate + CO2. Can also convert 2-oxobutanoate and pyruvate to (S)-2-ethyl-2-hydroxy-3-oxobutanoate."" [EC:2.2.1.6]"	3	1846	3	22878	0.0016251354279523294	1.0	query_1	['GO:0016744']	16hr_60S_down	2.3548825875278627
GO:MF	GO:0004614	phosphoglucomutase activity	0.0044168984303749135	True	"""Catalysis of the reaction: alpha-D-glucose 1-phosphate = alpha-D-glucose 6-phosphate."" [EC:5.4.2.2]"	3	1846	3	22878	0.0016251354279523294	1.0	query_1	['GO:0016868']	16hr_60S_down	2.3548825875278627
GO:MF	GO:0031072	heat shock protein binding	0.004598363196086929	True	"""Binding to a heat shock protein, a protein synthesized or activated in response to heat shock."" [GOC:mah, GOC:vw]"	25	1846	8	22878	0.004333694474539545	0.32	query_1	['GO:0005515']	16hr_60S_down	2.3373967294940945
GO:MF	GO:0004365	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity	0.004620896132897874	True	"""Catalysis of the reaction: D-glyceraldehyde 3-phosphate + phosphate + NAD+ = 3-phospho-D-glyceroyl phosphate + NADH + H+."" [EC:1.2.1.12]"	6	1846	4	22878	0.0021668472372697724	0.6666666666666666	query_1	['GO:0043891']	16hr_60S_down	2.335273793311261
GO:MF	GO:0004222	metalloendopeptidase activity	0.004917914702856913	True	"""Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions."" [GOC:mah, https://www.ebi.ac.uk/merops/about/glossary.shtml#CATTYPE, https://www.ebi.ac.uk/merops/about/glossary.shtml#ENDOPEPTIDASE]"	58	1846	13	22878	0.007042253521126761	0.22413793103448276	query_1	['GO:0004175', 'GO:0008237']	16hr_60S_down	2.308219008008813
GO:MF	GO:0051879	Hsp90 protein binding	0.004917914702856913	True	"""Binding to Hsp90 proteins, any of a group of heat shock proteins around 90kDa in size."" [GOC:ai]"	10	1846	5	22878	0.0027085590465872156	0.5	query_1	['GO:0031072']	16hr_60S_down	2.308219008008813
GO:MF	GO:0008172	S-methyltransferase activity	0.004917914702856913	True	"""Catalysis of the transfer of a methyl group to the sulfur atom of an acceptor molecule."" [GOC:ai]"	10	1846	5	22878	0.0027085590465872156	0.5	query_1	['GO:0008168']	16hr_60S_down	2.308219008008813
GO:MF	GO:0120533	glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+] (non-phosphorylating) activity	0.004917914702856913	True	"""Catalysis of the reaction: D-glyceraldehyde 3-phosphate + NAD(P)+ + H2O = (2R)-3-phosphoglycerate + NAD(P)H + 2 H+."" [EC:1.2.1.90]"	10	1846	5	22878	0.0027085590465872156	0.5	query_1	['GO:0016620']	16hr_60S_down	2.308219008008813
GO:MF	GO:0019238	cyclohydrolase activity	0.004917914702856913	True	"""Catalysis of the hydrolysis of any non-peptide carbon-nitrogen bond in a cyclic amidine, a compound of the form R-C(=NH)-NH2, in a reaction that involves the opening of a ring."" [GOC:mah]"	10	1846	5	22878	0.0027085590465872156	0.5	query_1	['GO:0016814']	16hr_60S_down	2.308219008008813
GO:MF	GO:0043021	ribonucleoprotein complex binding	0.005327275381989313	True	"""Binding to a complex of RNA and protein."" [GOC:bf, GOC:go_curators, GOC:vk]"	38	1846	10	22878	0.005417118093174431	0.2631578947368421	query_1	['GO:0044877']	16hr_60S_down	2.273494852720113
GO:MF	GO:0070006	metalloaminopeptidase activity	0.00577066008680047	True	"""Catalysis of the hydrolysis of a single N-terminal amino acid residue from a polypeptide chain by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions."" [https://www.ebi.ac.uk/merops/about/glossary.shtml#AMINOPEPTIDASE]"	15	1846	6	22878	0.0032502708559046588	0.4	query_1	['GO:0004177', 'GO:0008235']	16hr_60S_down	2.2387745064874816
GO:MF	GO:0016783	sulfurtransferase activity	0.00577066008680047	True	"""Catalysis of the transfer of sulfur atoms from one compound (donor) to another (acceptor)."" [EC:2.8.1.-, GOC:ai]"	15	1846	6	22878	0.0032502708559046588	0.4	query_1	['GO:0016782']	16hr_60S_down	2.2387745064874816
GO:MF	GO:0008235	metalloexopeptidase activity	0.007342312438544081	True	"""Catalysis of the hydrolysis of a peptide bond not more than three residues from the N- or C-terminus of a polypeptide chain by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions."" [GOC:mah, https://www.ebi.ac.uk/merops/about/glossary.shtml]"	21	1846	7	22878	0.003791982665222102	0.3333333333333333	query_1	['GO:0008237', 'GO:0008238']	16hr_60S_down	2.1341671388393104
GO:MF	GO:0016832	aldehyde-lyase activity	0.007342312438544081	True	"""Catalysis of the cleavage of a C-C bond in a molecule containing a hydroxyl group and a carbonyl group to form two smaller molecules, each being an aldehyde or a ketone."" [GOC:curators]"	21	1846	7	22878	0.003791982665222102	0.3333333333333333	query_1	['GO:0016830']	16hr_60S_down	2.1341671388393104
GO:MF	GO:0019203	carbohydrate phosphatase activity	0.007650828816512681	True	"""Catalysis of the reaction: carbohydrate phosphate + H2O = carbohydrate + phosphate."" [GOC:mah]"	27	1846	8	22878	0.004333694474539545	0.2962962962962963	query_1	['GO:0016791']	16hr_60S_down	2.1162915150502393
GO:MF	GO:0016408	C-acyltransferase activity	0.008112405960492787	True	"""Catalysis of the transfer of an acyl group to a carbon atom on the acceptor molecule."" [GOC:ai]"	11	1846	5	22878	0.0027085590465872156	0.45454545454545453	query_1	['GO:0016747']	16hr_60S_down	2.090850324530653
GO:MF	GO:0016597	amino acid binding	0.008340727673975609	True	"""Binding to an amino acid, organic acids containing one or more amino substituents."" [GOC:ai]"	16	1846	6	22878	0.0032502708559046588	0.375	query_1	['GO:0005488']	16hr_60S_down	2.078796058354314
GO:MF	GO:0031420	alkali metal ion binding	0.008340727673975609	True	"""Binding to an alkali metal ion; alkali metals are those elements in group Ia of the periodic table, with the exception of hydrogen."" [GOC:mah]"	16	1846	6	22878	0.0032502708559046588	0.375	query_1	['GO:0046872']	16hr_60S_down	2.078796058354314
GO:MF	GO:0005543	phospholipid binding	0.009047567636182804	True	"""Binding to a phospholipid, a class of lipids containing phosphoric acid as a mono- or diester."" [ISBN:0198506732]"	135	1846	22	22878	0.011917659804983749	0.16296296296296298	query_1	['GO:0008289']	16hr_60S_down	2.043468161586862
