source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	Cluster	-log10(p_value)
GO:BP	GO:0045037	protein import into chloroplast stroma	0.02010548845999206	True	"""The targeting and import of proteins into the chloroplast stroma. Import depends on ATP hydrolysis catalyzed by stromal chaperones. Chloroplast stromal proteins, such as the S subunit of rubisco, have a N-terminal stromal-import sequence of about 44 amino acids which is cleaved from the protein precursor after import."" [ISBN:0716731363]"	27	1705	7	21925	0.004105571847507331	0.25925925925925924	query_1	['GO:0071806', 'GO:0072596']	16hr_60S_down	1.696685371310025
GO:BP	GO:0090351	seedling development	0.02037822224255814	True	"""The process whose specific outcome is the progression of the seedling over time, beginning with seed germination and ending when the first adult leaves emerge."" [GOC:tb, PO:0007131]"	211	1705	28	21925	0.016422287390029325	0.13270142180094788	query_1	['GO:0009791']	16hr_60S_down	1.690833705703643
GO:BP	GO:0009746	response to hexose	0.020380297741723435	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hexose stimulus."" [GOC:jl]"	73	1705	13	21925	0.007624633431085044	0.1780821917808219	query_1	['GO:0034284']	16hr_60S_down	1.6907894755482886
GO:BP	GO:0051274	beta-glucan biosynthetic process	0.020380297741723435	True	"""The chemical reactions and pathways resulting in the formation of beta-glucans."" [GOC:ai]"	73	1705	13	21925	0.007624633431085044	0.1780821917808219	query_1	['GO:0009250', 'GO:0051273']	16hr_60S_down	1.6907894755482886
GO:CC	GO:0009295	nucleoid	0.02048533436205455	True	"""The region of a virus, bacterial cell, mitochondrion or chloroplast to which the nucleic acid is confined."" [GOC:bm, GOC:ma, ISBN:3540076689]"	62	1869	13	20029	0.006955591225254147	0.20967741935483872	query_1	['GO:0110165']	16hr_60S_down	1.6885569430894003
GO:BP	GO:0010608	post-transcriptional regulation of gene expression	0.02063755018224819	True	"""Any process that modulates the frequency, rate or extent of gene expression after the production of an RNA transcript."" [GOC:dph, GOC:tb]"	322	1705	39	21925	0.02287390029325513	0.12111801242236025	query_1	['GO:0010468']	16hr_60S_down	1.6853418576978
GO:BP	GO:0044093	positive regulation of molecular function	0.02097763324645767	True	"""Any process that activates or increases the rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."" [GO:jl]"	65	1705	12	21925	0.007038123167155425	0.18461538461538463	query_1	['GO:0065009']	16hr_60S_down	1.6782435116612744
GO:BP	GO:0010053	root epidermal cell differentiation	0.02176234016922314	True	"""The process in which a relatively unspecialized cell in the root epidermis acquires the specialized features of a trichoblast or atrichoblast."" [GOC:tb]"	145	1705	21	21925	0.012316715542521995	0.14482758620689656	query_1	['GO:0010015', 'GO:0090558', 'GO:0090627']	16hr_60S_down	1.662294405484231
GO:BP	GO:0042794	plastid rRNA transcription	0.02176234016922314	True	"""The synthesis of ribosomal RNA (rRNA) from a plastid DNA template, usually by a specific plastid RNA polymerase."" [GOC:jl, ISBN:0321000382]"	5	1705	3	21925	0.0017595307917888563	0.6	query_1	['GO:0009303', 'GO:0042793']	16hr_60S_down	1.662294405484231
GO:BP	GO:0031112	positive regulation of microtubule polymerization or depolymerization	0.02176234016922314	True	"""Any process that activates or increases the frequency, rate or extent of microtubule polymerization or depolymerization."" [GOC:mah]"	5	1705	3	21925	0.0017595307917888563	0.6	query_1	['GO:0031109', 'GO:0031110', 'GO:0051495']	16hr_60S_down	1.662294405484231
GO:BP	GO:0072708	response to sorbitol	0.02176234016922314	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a sorbitol stimulus."" [GOC:mah]"	5	1705	3	21925	0.0017595307917888563	0.6	query_1	['GO:0009743']	16hr_60S_down	1.662294405484231
GO:BP	GO:1901562	response to paraquat	0.02176234016922314	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a paraquat stimulus."" [GOC:TermGenie]"	5	1705	3	21925	0.0017595307917888563	0.6	query_1	['GO:0042221']	16hr_60S_down	1.662294405484231
GO:BP	GO:0046482	para-aminobenzoic acid metabolic process	0.02176234016922314	True	"""The chemical reactions and pathways involving para-aminobenzoic acid, an intermediate in the synthesis of folic acid, a compound which some organisms, e.g. prokaryotes, eukaryotic microbes, and plants, can synthesize de novo. Others, notably mammals, cannot. In yeast, it is present as a factor in the B complex of vitamins."" [ISBN:0198506732, PMID:11377864, PMID:11960743]"	5	1705	3	21925	0.0017595307917888563	0.6	query_1	['GO:0009072', 'GO:0032787', 'GO:0042537']	16hr_60S_down	1.662294405484231
KEGG	KEGG:00340	Histidine metabolism	0.021958624753040997	True	Histidine metabolism	19	865	8	5300	0.009248554913294798	0.42105263157894735	query_1	['KEGG:00000']	16hr_60S_down	1.658394862804283
KEGG	KEGG:00280	Valine, leucine and isoleucine degradation	0.021958624753040997	True	Valine, leucine and isoleucine degradation	52	865	16	5300	0.018497109826589597	0.3076923076923077	query_1	['KEGG:00000']	16hr_60S_down	1.658394862804283
GO:MF	GO:0032182	ubiquitin-like protein binding	0.02212781378745602	True	"""Binding to a small conjugating protein such as ubiquitin or a ubiquitin-like protein."" [GOC:mah]"	54	1846	11	22878	0.005958829902491874	0.2037037037037037	query_1	['GO:0005515']	16hr_60S_down	1.6550614919446611
GO:BP	GO:0010380	regulation of chlorophyll biosynthetic process	0.022390647492227116	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of chlorophyll, any compound of magnesium complexed in a porphyrin (tetrapyrrole) ring and which functions as a photosynthetic pigment, from less complex precursors."" [PMID:17291312]"	21	1705	6	21925	0.0035190615835777126	0.2857142857142857	query_1	['GO:0015995', 'GO:0090056', 'GO:1901463']	16hr_60S_down	1.6499333473215785
GO:BP	GO:0006189	'de novo' IMP biosynthetic process	0.0227709682510929	True	"""The chemical reactions and pathways resulting in the formation of IMP, inosine monophosphate, by the stepwise assembly of a purine ring on ribose 5-phosphate."" [GOC:mah, ISBN:0716720094]"	15	1705	5	21925	0.002932551319648094	0.3333333333333333	query_1	['GO:0006188']	16hr_60S_down	1.6426185022277917
GO:BP	GO:0006415	translational termination	0.0227709682510929	True	"""The process resulting in the release of a polypeptide chain from the ribosome, usually in response to a termination codon (UAA, UAG, or UGA in the universal genetic code)."" [GOC:hjd, ISBN:019879276X]"	15	1705	5	21925	0.002932551319648094	0.3333333333333333	query_1	['GO:0006412', 'GO:0032984']	16hr_60S_down	1.6426185022277917
GO:CC	GO:0042646	plastid nucleoid	0.023412160282679433	True	"""The region of a plastid to which the DNA is confined."" [GOC:jl]"	56	1869	12	20029	0.006420545746388443	0.21428571428571427	query_1	['GO:0009295', 'GO:0009532', 'GO:0043232']	16hr_60S_down	1.6305585113114474
GO:BP	GO:0009309	amine biosynthetic process	0.02361932106433141	True	"""The chemical reactions and pathways resulting in the formation of any organic compound that is weakly basic in character and contains an amino or a substituted amino group. Amines are called primary, secondary, or tertiary according to whether one, two, or three carbon atoms are attached to the nitrogen atom."" [GOC:jl, ISBN:0198506732]"	50	1705	10	21925	0.005865102639296188	0.2	query_1	['GO:0009058', 'GO:0009308']	16hr_60S_down	1.6267325903064258
GO:BP	GO:0042401	biogenic amine biosynthetic process	0.02361932106433141	True	"""The chemical reactions and pathways occurring at the level of individual cells resulting in the formation of any of a group of naturally occurring, biologically active amines, such as norepinephrine, histamine, and serotonin, many of which act as neurotransmitters."" [GOC:jl, ISBN:0395825172]"	50	1705	10	21925	0.005865102639296188	0.2	query_1	['GO:0006576', 'GO:0009309']	16hr_60S_down	1.6267325903064258
GO:BP	GO:0140546	defense response to symbiont	0.02361932106433141	True	"""Reactions triggered in response to the presence of a symbiont that act to protect or prevent damage to the host."" [GOC:pg]"	325	1705	39	21925	0.02287390029325513	0.12	query_1	['GO:0098542']	16hr_60S_down	1.6267325903064258
GO:MF	GO:0016638	oxidoreductase activity, acting on the CH-NH2 group of donors	0.023624090674642342	True	"""Catalysis of an oxidation-reduction (redox) reaction in which a CH-NH2 group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor."" [EC:1.4.-.-, GOC:ai]"	26	1846	7	22878	0.003791982665222102	0.2692307692307692	query_1	['GO:0016491']	16hr_60S_down	1.626644899118611
