source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	Cluster	-log10(p_value)
GO:BP	GO:0015979	photosynthesis	0.03905728061570436	True	"""The synthesis by organisms of organic chemical compounds, especially carbohydrates, from carbon dioxide (CO2) using energy obtained from light rather than from the oxidation of chemical compounds."" [ISBN:0198547684]"	281	47	5	21925	0.10638297872340426	0.017793594306049824	query_1	['GO:0008152']	Bulked_Disome_up	1.408297997983832
GO:CC	GO:0043228	membraneless organelle	0.0460335609238239	True	"""Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane. Includes ribosomes, the cytoskeleton and chromosomes."" [GOC:go_curators]"	2568	47	12	20029	0.2553191489361702	0.004672897196261682	query_1	['GO:0043226']	Bulked_Disome_up	1.336925428978471
GO:CC	GO:0043232	intracellular membraneless organelle	0.0460335609238239	True	"""Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane and occurring within the cell. Includes ribosomes, the cytoskeleton and chromosomes."" [GOC:go_curators]"	2568	47	12	20029	0.2553191489361702	0.004672897196261682	query_1	['GO:0043228', 'GO:0043229']	Bulked_Disome_up	1.336925428978471
GO:CC	GO:0032991	protein-containing complex	0.04644996365201022	True	"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."" [GOC:dos, GOC:mah]"	2580	47	12	20029	0.2553191489361702	0.004651162790697674	query_1	['GO:0005575']	Bulked_Disome_up	1.33301462151399
GO:BP	GO:0006952	defense response	3.44429776875293e-09	True	"""Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."" [GOC:go_curators]"	1636	119	34	21925	0.2857142857142857	0.02078239608801956	query_1	['GO:0006950']	16hr_Disome_up	8.462899309675956
GO:BP	GO:0006950	response to stress	8.303083018895005e-09	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	3733	119	51	21925	0.42857142857142855	0.013661934101259042	query_1	['GO:0050896']	16hr_Disome_up	8.080760619734495
GO:BP	GO:0050896	response to stimulus	8.303083018895005e-09	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]"	6001	119	67	21925	0.5630252100840336	0.011164805865689052	query_1	['GO:0008150']	16hr_Disome_up	8.080760619734495
GO:BP	GO:0042221	response to chemical	1.332741479174264e-08	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]"	2940	119	44	21925	0.3697478991596639	0.014965986394557823	query_1	['GO:0050896']	16hr_Disome_up	7.875254085437347
GO:BP	GO:0098542	defense response to other organism	1.332741479174264e-08	True	"""Reactions triggered in response to the presence of another organism that act to protect the cell or organism from damage caused by that organism."" [GOC:dos]"	1154	119	27	21925	0.226890756302521	0.02339688041594454	query_1	['GO:0006952', 'GO:0051707']	16hr_Disome_up	7.875254085437347
GO:BP	GO:0051707	response to other organism	1.6606288600693193e-08	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."" [GOC:ai]"	1461	119	30	21925	0.25210084033613445	0.02053388090349076	query_1	['GO:0043207', 'GO:0044419']	16hr_Disome_up	7.779727418743287
GO:BP	GO:0043207	response to external biotic stimulus	1.6606288600693193e-08	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things."" [GOC:go_curators]"	1461	119	30	21925	0.25210084033613445	0.02053388090349076	query_1	['GO:0009605', 'GO:0009607']	16hr_Disome_up	7.779727418743287
GO:BP	GO:0009607	response to biotic stimulus	1.8086535642875477e-08	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."" [GOC:hb]"	1488	119	30	21925	0.25210084033613445	0.020161290322580645	query_1	['GO:0050896']	16hr_Disome_up	7.742644611430223
GO:BP	GO:0009605	response to external stimulus	1.8086535642875477e-08	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]"	1684	119	32	21925	0.2689075630252101	0.019002375296912115	query_1	['GO:0050896']	16hr_Disome_up	7.742644611430223
GO:BP	GO:0044419	biological process involved in interspecies interaction between organisms	1.8086535642875477e-08	True	"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]"	1477	119	30	21925	0.25210084033613445	0.020311442112389978	query_1	['GO:0008150']	16hr_Disome_up	7.742644611430223
