cluster	count
16hr_60S_up	80
16hr_Disome_up	145
16hr_Monosome_up	164
4hr_60S_up	43
4hr_Disome_up	29
4hr_Monosome_up	135
Bulked_60S_up	17
Bulked_Disome_up	52
Bulked_Monosome_up	65
